image_id,record_ids,file_path,description,source_id,source_page_url,asset_url,source_date,collected_at,license,notes
CSUT_IMG001,Y-C001,assets/csut-images/yuntang-tingxiang-environment.jpeg,汀香园食堂内部环境,CSUT_SRC003,https://www.sohu.com/a/255270408_390682,https://5b0988e595225.cdn.sohucs.com/images/20180921/2029ed9f65c94fc1b4d02791e9e07419.jpeg,2018-09-21,2026-07-18,未知,按原文图文顺序关联
CSUT_IMG002,Y-S001,assets/csut-images/yuntang-tingxiang-meal.jpeg,汀香园学生饭菜相关图,CSUT_SRC003,https://www.sohu.com/a/255270408_390682,https://5b0988e595225.cdn.sohucs.com/images/20180921/cc5fdc5c8c6b4eb2abe1a7071ff9f103.jpeg,2018-09-21,2026-07-18,未知,按原文图文顺序关联
CSUT_IMG003,Y-S002,assets/csut-images/yuntang-tingxiang-luosifen.jpeg,汀香园螺蛳粉档口相关图,CSUT_SRC003,https://www.sohu.com/a/255270408_390682,https://5b0988e595225.cdn.sohucs.com/images/20180921/c3ffe82f16a14bbf8de2d0fe5ba1bfde.jpeg,2018-09-21,2026-07-18,未知,按原文图文顺序关联
CSUT_IMG004,Y-C002,assets/csut-images/yuntang-ganyi-environment.jpeg,甘饴园食堂相关图,CSUT_SRC003,https://www.sohu.com/a/255270408_390682,https://5b0988e595225.cdn.sohucs.com/images/20180921/11071dd2f9af4f4a92cfbf696706bb89.jpeg,2018-09-21,2026-07-18,未知,按原文图文顺序关联
CSUT_IMG005,Y-S012,assets/csut-images/yuntang-ganyi-rib-noodles.jpeg,甘饴园排骨粉相关图,CSUT_SRC003,https://www.sohu.com/a/255270408_390682,https://5b0988e595225.cdn.sohucs.com/images/20180921/e78e1a9dfe594db68553f9c297fcc5c6.jpeg,2018-09-21,2026-07-18,未知,按原文图文顺序关联
CSUT_IMG006,Y-N001,assets/csut-images/yuntang-west-grilled-gluten.jpeg,云塘西门烤面筋门店图,CSUT_SRC003,https://www.sohu.com/a/255270408_390682,https://5b0988e595225.cdn.sohucs.com/images/20180921/e0d8b4261a8943148c0192c24b36d97e.jpeg,2018-09-21,2026-07-18,未知,图中可见“西门烤面筋”招牌
CSUT_IMG007,Y-N002,assets/csut-images/yuntang-yihetang.jpeg,云塘西门益禾堂相关图,CSUT_SRC003,https://www.sohu.com/a/255270408_390682,https://5b0988e595225.cdn.sohucs.com/images/20180921/4ad94563e25d4577af66ad64bf4cd052.jpeg,2018-09-21,2026-07-18,未知,按原文图文顺序关联
CSUT_IMG008,Y-N003,assets/csut-images/yuntang-shuyi.jpeg,云塘西门书亦烧仙草相关图,CSUT_SRC003,https://www.sohu.com/a/255270408_390682,https://5b0988e595225.cdn.sohucs.com/images/20180921/731e9ff176314b4fbfaf77a397993ffa.jpeg,2018-09-21,2026-07-18,未知,按原文图文顺序关联
CSUT_IMG009,Y-N004,assets/csut-images/yuntang-south-uncle.jpeg,云塘南门季节小吃摊相关图,CSUT_SRC003,https://www.sohu.com/a/255270408_390682,https://5b0988e595225.cdn.sohucs.com/images/20180921/48d3694b54de4855af6964fb9bd9b0dd.jpeg,2018-09-21,2026-07-18,未知,按原文图文顺序关联
CSUT_IMG010,Y-N005,assets/csut-images/yuntang-zaomu-roast-duck.jpeg,枣木烤鸭相关图,CSUT_SRC003,https://www.sohu.com/a/255270408_390682,https://5b0988e595225.cdn.sohucs.com/images/20180921/3333e330b8714838b00de9e7027712db.jpeg,2018-09-21,2026-07-18,未知,按原文图文顺序关联
CSUT_IMG011,Y-N006,assets/csut-images/yuntang-wangji-hot-lu.jpeg,王记热卤相关图,CSUT_SRC003,https://www.sohu.com/a/255270408_390682,https://5b0988e595225.cdn.sohucs.com/images/20180921/5a4fab94ce2a4d9d829681c81cb219ca.jpeg,2018-09-21,2026-07-18,未知,按原文图文顺序关联
CSUT_IMG012,Y-N007,assets/csut-images/yuntang-niuwa-fish.jpeg,牛蛙恋上鱼菜品图,CSUT_SRC004,https://www.sohu.com/a/321172668_148724,https://5b0988e595225.cdn.sohucs.com/images/20190617/4f96db46a68a4d3ba788c71d93f6044d.jpeg,2019-06-16,2026-07-18,未知,按原文图文顺序关联
CSUT_IMG013,Y-N008,assets/csut-images/yuntang-qijiu-bbq.jpeg,柒酒现拌烤肉菜品图,CSUT_SRC004,https://www.sohu.com/a/321172668_148724,https://5b0988e595225.cdn.sohucs.com/images/20190617/782c565fab5a461b986f6c1b19e027b4.jpeg,2019-06-16,2026-07-18,未知,按原文图文顺序关联
CSUT_IMG014,Y-N009,assets/csut-images/yuntang-bugua-ke-drypot.jpeg,不挂科干锅相关图,CSUT_SRC004,https://www.sohu.com/a/321172668_148724,https://5b0988e595225.cdn.sohucs.com/images/20190617/40be67a88093452d8fbc6cfaefab9e22.jpeg,2019-06-16,2026-07-18,未知,按原文图文顺序关联
